procps-ng    procps-ng-4.0.4.tar.xz
util-linux    util-linux-2.40.2.tar.xz
e2fsprogs    e2fsprogs-1.47.1.tar.gz
lfs-cleanup    none
lfs-system-config    none
linux-kernel    linux-6.10.5.tar.xz
libidn2    https://ftp.gnu.org/gnu/libidn/libidn2-2.3.7.tar.gz
libunistring    https://ftp.gnu.org/gnu/libunistring/libunistring-1.2.tar.xz
libpsl    https://github.com/rockdaboot/libpsl/releases/download/0.21.5/libpsl-0.21.5.tar.gz
libtasn1    https://ftp.gnu.org/gnu/libtasn1/libtasn1-4.19.0.tar.gz
p11-kit    https://github.com/p11-glue/p11-kit/releases/download/0.25.5/p11-kit-0.25.5.tar.xz
make-ca    https://github.com/lfs-book/make-ca/archive/v1.14/make-ca-1.14.tar.gz
wget    https://ftp.gnu.org/gnu/wget/wget-1.24.5.tar.gz
libtirpc    https://downloads.sourceforge.net/libtirpc/libtirpc-1.3.5.tar.bz2
libnsl    https://github.com/thkukuk/libnsl/releases/download/v2.0.1/libnsl-2.0.1.tar.xz
linux-pam    https://github.com/linux-pam/linux-pam/releases/download/v1.6.1/Linux-PAM-1.6.1.tar.xz
packaging    https://files.pythonhosted.org/packages/source/p/packaging/packaging-24.1.tar.gz
docutils    https://files.pythonhosted.org/packages/source/d/docutils/docutils-0.21.2.tar.gz
icu    https://github.com/unicode-org/icu/releases/download/release-75-1/icu4c-75_1-src.tgz
libxml2    https://download.gnome.org/sources/libxml2/2.13/libxml2-2.13.3.tar.xz
docbook-xsl-nons    https://github.com/docbook/xslt10-stylesheets/releases/download/release/1.79.2/docbook-xsl-nons-1.79.2.tar.bz2
docbook-xml    https://github.com/rockytriton/lfs-fix-packages/raw/refs/heads/main/docbook-xml-4.5.txz
libxslt    https://download.gnome.org/sources/libxslt/1.1/libxslt-1.1.42.tar.xz
pcre2    https://github.com/PCRE2Project/pcre2/releases/download/pcre2-10.44/pcre2-10.44.tar.bz2
glib    https://download.gnome.org/sources/glib/2.80/glib-2.80.4.tar.xz
duktape    https://duktape.org/duktape-2.7.0.tar.xz
systemd-pam    https://github.com/systemd/systemd/archive/v256.4/systemd-256.4.tar.gz
shadow-pam    https://github.com/shadow-maint/shadow/releases/download/4.16.0/shadow-4.16.0.tar.xz
sudo    https://www.sudo.ws/dist/sudo-1.9.15p5.tar.gz
bash-startup-files    none
openssh    https://ftp.openbsd.org/pub/OpenBSD/OpenSSH/portable/openssh-9.8p1.tar.gz
xmlto    https://pagure.io/xmlto/archive/0.0.29/xmlto-0.0.29.tar.gz
nghttp2    https://github.com/nghttp2/nghttp2/releases/download/v1.62.1/nghttp2-1.62.1.tar.xz
libuv    https://dist.libuv.org/dist/v1.48.0/libuv-v1.48.0.tar.gz
libarchive    https://github.com/libarchive/libarchive/releases/download/v3.7.4/libarchive-3.7.4.tar.xz
yaml    https://github.com/yaml/libyaml/releases/download/0.2.5/yaml-0.2.5.tar.gz
curl    https://curl.se/download/curl-8.9.1.tar.xz
pcre2    https://github.com/PCRE2Project/pcre2/releases/download/pcre2-10.44/pcre2-10.44.tar.bz2
libssh2    https://www.libssh2.org/download/libssh2-1.11.0.tar.gz
alsa-lib    https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.12.tar.bz2
iso    https://ftp.debian.org/debian/pool/main/i/iso-codes/iso-codes_4.17.0.orig.tar.xz
giflib    https://sourceforge.net/projects/giflib/files/giflib-5.2.2.tar.gz
hwdata    https://github.com/vcrhonek/hwdata/archive/v0.385/hwdata-0.385.tar.gz
pciutils    https://mj.ucw.cz/download/linux/pci/pciutils-3.13.0.tar.gz
libogg    https://downloads.xiph.org/releases/ogg/libogg-1.3.5.tar.xz
opus    https://downloads.xiph.org/releases/opus/opus-1.5.2.tar.gz
flac    https://downloads.xiph.org/releases/flac/flac-1.4.3.tar.xz
libgpg-error    https://www.gnupg.org/ftp/gcrypt/libgpg-error/libgpg-error-1.50.tar.bz2
libgcrypt    https://www.gnupg.org/ftp/gcrypt/libgcrypt/libgcrypt-1.11.0.tar.bz2
mpg123    https://downloads.sourceforge.net/mpg123/mpg123-1.32.7.tar.bz2
libusb    https://github.com/libusb/libusb/releases/download/v1.0.27/libusb-1.0.27.tar.bz2
which    https://ftp.gnu.org/gnu/which/which-2.21.tar.gz
cmake    https://cmake.org/files/v3.30/cmake-3.30.2.tar.gz
llvm    https://github.com/llvm/llvm-project/releases/download/llvmorg-18.1.7/llvm-18.1.7.src.tar.xz
docutils    https://files.pythonhosted.org/packages/source/d/docutils/docutils-0.21.2.tar.gz
packaging    https://files.pythonhosted.org/packages/source/p/packaging/packaging-24.1.tar.gz
ply    https://files.pythonhosted.org/packages/source/p/ply/ply-3.11.tar.gz
mako    https://files.pythonhosted.org/packages/source/M/Mako/Mako-1.3.5.tar.gz
cython    https://github.com/cython/cython/releases/download/3.0.11-1/cython-3.0.11.tar.gz
pyyaml    https://files.pythonhosted.org/packages/source/P/PyYAML/pyyaml-6.0.2.tar.gz
glib    https://download.gnome.org/sources/glib/2.80/glib-2.80.4.tar.xz
spriv-headers    https://github.com/KhronosGroup/SPIRV-Headers/archive/vulkan-sdk-1.3.290.0/SPIRV-Headers-1.3.290.0.tar.gz
spriv-tools    https://github.com/KhronosGroup/SPIRV-Tools/archive/vulkan-sdk-1.3.290.0/SPIRV-Tools-1.3.290.0.tar.gz
spriv-translator    https://github.com/KhronosGroup/SPIRV-LLVM-Translator/archive/v18.1.3/SPIRV-LLVM-Translator-18.1.3.tar.gz
libclc    https://github.com/llvm/llvm-project/releases/download/llvmorg-18.1.7/libclc-18.1.7.src.tar.xz
rustc    https://static.rust-lang.org/dist/rustc-1.80.1-src.tar.xz
rust-bindgen    https://github.com/rust-lang/rust-bindgen/archive/v0.70.0/rust-bindgen-0.70.0.tar.gz
cbindgen    https://github.com/mozilla/cbindgen/archive/v0.27.0/cbindgen-0.27.0.tar.gz
nasm    https://www.nasm.us/pub/nasm/releasebuilds/2.16.03/nasm-2.16.03.tar.xz
libtiff    https://download.osgeo.org/libtiff/tiff-4.6.0.tar.gz
libjpeg-turbo    https://downloads.sourceforge.net/libjpeg-turbo/libjpeg-turbo-3.0.1.tar.gz
libpng    https://downloads.sourceforge.net/libpng/libpng-1.6.43.tar.xz
xorg-setup    none
util-macros    https://www.x.org/pub/individual/util/util-macros-1.20.1.tar.xz
xorgproto    https://xorg.freedesktop.org/archive/individual/proto/xorgproto-2024.1.tar.xz
libXau    https://www.x.org/pub/individual/lib/libXau-1.0.11.tar.xz
libXdmcp    https://www.x.org/pub/individual/lib/libXdmcp-1.1.5.tar.xz
xcb-proto    https://xorg.freedesktop.org/archive/individual/proto/xcb-proto-1.17.0.tar.xz
libxcb    https://xorg.freedesktop.org/archive/individual/lib/libxcb-1.17.0.tar.xz
graphite2    https://github.com/silnrsi/graphite/releases/download/1.3.14/graphite2-1.3.14.tgz
freetype-nohb    https://downloads.sourceforge.net/freetype/freetype-2.13.3.tar.xz
harfbuzz    https://github.com/harfbuzz/harfbuzz/releases/download/9.0.0/harfbuzz-9.0.0.tar.xz
freetype    https://downloads.sourceforge.net/freetype/freetype-2.13.3.tar.xz
fontconfig    https://www.freedesktop.org/software/fontconfig/release/fontconfig-2.15.0.tar.xz
xorg-libs    none
dbus-x    https://dbus.freedesktop.org/releases/dbus/dbus-1.14.10.tar.xz
libxcvt    https://www.x.org/pub/individual/lib/libxcvt-0.1.2.tar.xz
xcb-util    https://xcb.freedesktop.org/dist/xcb-util-0.4.1.tar.xz
xcb-util-image    https://xcb.freedesktop.org/dist/xcb-util-image-0.4.1.tar.xz
xcb-util-keysyms    https://xcb.freedesktop.org/dist/xcb-util-keysyms-0.4.1.tar.xz
xcb-util-renderutil    https://xcb.freedesktop.org/dist/xcb-util-renderutil-0.3.10.tar.xz
xcb-util-wm    https://xcb.freedesktop.org/dist/xcb-util-wm-0.4.2.tar.xz
xcb-util-cursor    https://xcb.freedesktop.org/dist/xcb-util-cursor-0.1.4.tar.xz
libvdpau    https://gitlab.freedesktop.org/vdpau/libvdpau/-/archive/1.5/libvdpau-1.5.tar.bz2
libdrm    https://dri.freedesktop.org/libdrm/libdrm-2.4.122.tar.xz
libva    https://github.com/intel/libva/archive/2.22.0/libva-2.22.0.tar.gz
glslang    https://github.com/KhronosGroup/glslang/archive/14.3.0/glslang-14.3.0.tar.gz
wayland    https://gitlab.freedesktop.org/wayland/wayland/-/releases/1.23.0/downloads/wayland-1.23.0.tar.xz
wayland-protocols    https://gitlab.freedesktop.org/wayland/wayland-protocols/-/releases/1.36/downloads/wayland-protocols-1.36.tar.xz
vulkan-headers    https://github.com/KhronosGroup/Vulkan-Headers/archive/v1.3.294/Vulkan-Headers-1.3.294.tar.gz
vulkan-loader    https://github.com/KhronosGroup/Vulkan-Loader/archive/v1.3.294/Vulkan-Loader-1.3.294.tar.gz
mesa    https://mesa.freedesktop.org/archive/mesa-24.1.5.tar.xz
libvdpau-va-gl    https://github.com/i-rinat/libvdpau-va-gl/archive/v0.4.2/libvdpau-va-gl-0.4.2.tar.gz
xbitmaps    https://www.x.org/pub/individual/data/xbitmaps-1.1.3.tar.xz
xorg-apps    none
luit    https://invisible-mirror.net/archives/luit/luit-20240102.tgz
xcursor-themes    https://www.x.org/pub/individual/data/xcursor-themes-1.0.7.tar.xz
xorg-fonts    none
xkeyboard-config    https://www.x.org/pub/individual/data/xkeyboard-config/xkeyboard-config-2.42.tar.xz
pixman    https://www.cairographics.org/releases/pixman-0.43.4.tar.gz
libepoxy    https://download.gnome.org/sources/libepoxy/1.5/libepoxy-1.5.10.tar.xz
xwayland    https://www.x.org/pub/individual/xserver/xwayland-24.1.2.tar.xz
xorg-server    https://www.x.org/pub/individual/xserver/xorg-server-21.1.13.tar.xz
mtdev    https://bitmath.org/code/mtdev/mtdev-1.1.7.tar.bz2
libevdev    https://www.freedesktop.org/software/libevdev/libevdev-1.13.2.tar.xz
xf86-input-evdev    https://www.x.org/pub/individual/driver/xf86-input-evdev-2.10.6.tar.bz2
libinput    https://gitlab.freedesktop.org/libinput/libinput/-/archive/1.26.1/libinput-1.26.1.tar.gz
xf86-input-libinput    https://www.x.org/pub/individual/driver/xf86-input-libinput-1.4.0.tar.xz
xf86-input-synaptics    https://www.x.org/pub/individual/driver/xf86-input-synaptics-1.9.2.tar.xz
twm    https://www.x.org/pub/individual/app/twm-1.0.12.tar.xz
xterm    https://invisible-mirror.net/archives/xterm/xterm-393.tgz
xclock    https://www.x.org/pub/individual/app/xclock-1.1.1.tar.xz
xinit    https://www.x.org/pub/individual/app/xinit-1.4.2.tar.xz
dejavu-fonts-ttf    https://github.com/rockytriton/lfs-fix-packages/raw/refs/heads/main/dejavu-fonts-ttf-2.37.txz
xorg-legacy    none
extra-cmake-modules    https://download.kde.org/stable/frameworks/6.5/extra-cmake-modules-6.5.0.tar.xz
nettle    https://ftp.gnu.org/gnu/nettle/nettle-3.10.tar.gz
gnutls    https://www.gnupg.org/ftp/gcrypt/gnutls/v3.8/gnutls-3.8.7.1.tar.xz
libgudev    https://download.gnome.org/sources/libgudev/238/libgudev-238.tar.xz
graphviz    https://gitlab.com/graphviz/graphviz/-/archive/12.1.0/graphviz-12.1.0.tar.bz2
vala    https://download.gnome.org/sources/vala/0.56/vala-0.56.17.tar.xz
json-glib    https://download.gnome.org/sources/json-glib/1.8/json-glib-1.8.0.tar.xz
libgusb    https://github.com/hughsie/libgusb/releases/download/0.4.9/libgusb-0.4.9.tar.xz
lcms2    https://github.com/mm2/Little-CMS/releases/download/lcms2.16/lcms2-2.16.tar.gz
polkit    https://github.com/polkit-org/polkit/archive/125/polkit-125.tar.gz
colord    https://www.freedesktop.org/software/colord/releases/colord-1.4.7.tar.xz
lynx2.9.2    https://invisible-mirror.net/archives/lynx/tarballs/lynx2.9.2.tar.bz2
xdg-utils    https://gitlab.freedesktop.org/xdg/xdg-utils/-/archive/v1.2.1/xdg-utils-v1.2.1.tar.gz
cups    https://github.com/OpenPrinting/cups/releases/download/v2.4.10/cups-2.4.10-source.tar.gz
double-conversion    https://github.com/google/double-conversion/archive/v3.3.0/double-conversion-3.3.0.tar.gz
gstreamer    https://gstreamer.freedesktop.org/src/gstreamer/gstreamer-1.24.7.tar.xz
cdparanoia    https://downloads.xiph.org/releases/cdparanoia/cdparanoia-III-10.2.src.tgz
libvorbis    https://downloads.xiph.org/releases/vorbis/libvorbis-1.3.7.tar.xz
fribidi    https://github.com/fribidi/fribidi/releases/download/v1.0.15/fribidi-1.0.15.tar.xz
cairo    https://www.cairographics.org/releases/cairo-1.18.0.tar.xz
pango    https://download.gnome.org/sources/pango/1.54/pango-1.54.0.tar.xz
gst-plugins-base    https://gstreamer.freedesktop.org/src/gst-plugins-base/gst-plugins-base-1.24.7.tar.xz
libxkbcommon    https://xkbcommon.org/download/libxkbcommon-1.7.0.tar.xz
SDL2    https://www.libsdl.org/release/SDL2-2.30.6.tar.gz
glu    https://archive.mesa3d.org/glu/glu-9.0.3.tar.xz
sdl12-compat-release    https://github.com/libsdl-org/sdl12-compat/archive/release-1.2.68/sdl12-compat-release-1.2.68.tar.gz
libwebp    https://storage.googleapis.com/downloads.webmproject.org/releases/webp/libwebp-1.4.0.tar.gz
jasper    https://github.com/jasper-software/jasper/archive/version-4.2.4/jasper-4.2.4.tar.gz
libmng    https://downloads.sourceforge.net/libmng/libmng-2.0.3.tar.xz
qt6    https://download.qt.io/archive/qt/6.7/6.7.2/single/qt-everywhere-src-6.7.2.tar.xz
sddm    https://github.com/sddm/sddm/archive/v0.21.0/sddm-0.21.0.tar.gz
plasma-wayland-protocols    https://download.kde.org/stable/plasma-wayland-protocols/plasma-wayland-protocols-1.13.0.tar.xz
lxqt-kwindowsystem    https://download.kde.org/stable/frameworks/6.5/kwindowsystem-6.5.0.tar.xz
lxqt-kconfig    https://download.kde.org/stable/frameworks/6.5/kconfig-6.5.0.tar.xz
lxqt-solid    https://download.kde.org/stable/frameworks/6.5/solid-6.5.0.tar.xz
lxqt-kidletime    https://download.kde.org/stable/frameworks/6.5/kidletime-6.5.0.tar.xz
lxqt-kwayland    http://download.kde.org/stable/plasma/6.1.4/kwayland-6.1.4.tar.xz
lxqt-libkscreen    http://download.kde.org/stable/plasma/6.1.4/libkscreen-6.1.4.tar.xz
lxqt-layer-shell-qt    http://download.kde.org/stable/plasma/6.1.4/layer-shell-qt-6.1.4.tar.xz
muparser    https://github.com/beltoforion/muparser/archive/v2.3.4/muparser-2.3.4.tar.gz
lxqt-build-tools    https://github.com/lxqt/lxqt-build-tools/releases/download/2.0.0/lxqt-build-tools-2.0.0.tar.xz
libqtxdg    https://github.com/lxqt/libqtxdg/releases/download/4.0.0/libqtxdg-4.0.0.tar.xz
lxqt-menu-data    https://github.com/lxqt/lxqt-menu-data/releases/download/2.0.0/lxqt-menu-data-2.0.0.tar.xz
polkit-qt    https://download.kde.org/stable/polkit-qt-1/polkit-qt-1-0.200.0.tar.xz
liblxqt    https://github.com/lxqt/liblxqt/releases/download/2.0.0/liblxqt-2.0.0.tar.xz
libsysstat    https://github.com/lxqt/libsysstat/releases/download/1.0.0/libsysstat-1.0.0.tar.xz
qtxdg-tools    https://github.com/lxqt/qtxdg-tools/releases/download/4.0.0/qtxdg-tools-4.0.0.tar.xz
libfm    https://downloads.sourceforge.net/pcmanfm/libfm-1.3.2.tar.xz
menu-cache    https://downloads.sourceforge.net/lxde/menu-cache-1.1.0.tar.xz
libexif    https://github.com/libexif/libexif/releases/download/v0.6.24/libexif-0.6.24.tar.bz2
libfm-qt    https://github.com/lxqt/libfm-qt/releases/download/2.0.2/libfm-qt-2.0.2.tar.xz
lxqt-globalkeys    https://github.com/lxqt/lxqt-globalkeys/releases/download/2.0.0/lxqt-globalkeys-2.0.0.tar.xz
libdbusmenu-lxqt    https://github.com/lxqt/libdbusmenu-lxqt/releases/download/0.1.0/libdbusmenu-lxqt-0.1.0.tar.xz
lxqt-qtplugin    https://github.com/lxqt/lxqt-qtplugin/releases/download/2.0.0/lxqt-qtplugin-2.0.0.tar.xz
libstatgrab    https://www.mirrorservice.org/sites/ftp.i-scream.org/pub/i-scream/libstatgrab/libstatgrab-0.92.1.tar.gz
lm-sensors-3-6    https://github.com/lm-sensors/lm-sensors/archive/V3-6-0/lm-sensors-3-6-0.tar.gz
lame    https://downloads.sourceforge.net/lame/lame-3.100.tar.gz
speex    https://downloads.xiph.org/releases/speex/speex-1.2.1.tar.gz
libsndfile    https://github.com/libsndfile/libsndfile/releases/download/1.2.2/libsndfile-1.2.2.tar.xz
pulseaudio    https://www.freedesktop.org/software/pulseaudio/releases/pulseaudio-17.0.tar.xz
lxqt-panel    https://github.com/lxqt/lxqt-panel/releases/download/2.0.1/lxqt-panel-2.0.1.tar.xz
oxygen-icons    https://download.kde.org/stable/oxygen-icons/oxygen-icons-6.0.0.tar.xz
pcmanfm-qt    https://github.com/lxqt/pcmanfm-qt/releases/download/2.0.0/pcmanfm-qt-2.0.0.tar.xz
upower    https://gitlab.freedesktop.org/upower/upower/-/archive/v1.90.4/upower-v1.90.4.tar.bz2
lxqt-powermanagement    https://github.com/lxqt/lxqt-powermanagement/releases/download/2.0.0/lxqt-powermanagement-2.0.0.tar.xz
lxqt-runner    https://github.com/lxqt/lxqt-runner/releases/download/2.0.0/lxqt-runner-2.0.0.tar.xz
lxqt-themes    https://github.com/lxqt/lxqt-themes/releases/download/2.0.0/lxqt-themes-2.0.0.tar.xz
lxqt-admin    https://github.com/lxqt/lxqt-admin/releases/download/2.0.0/lxqt-admin-2.0.0.tar.xz
lxqt-about    https://github.com/lxqt/lxqt-about/releases/download/2.0.0/lxqt-about-2.0.0.tar.xz
lxqt-config    https://github.com/lxqt/lxqt-config/releases/download/2.0.0/lxqt-config-2.0.0.tar.xz
lxqt-policykit    https://github.com/lxqt/lxqt-policykit/releases/download/2.0.0/lxqt-policykit-2.0.0.tar.xz
lxqt-sudo    https://github.com/lxqt/lxqt-sudo/releases/download/2.0.0/lxqt-sudo-2.0.0.tar.xz
lxqt-openssh-askpass    https://github.com/lxqt/lxqt-openssh-askpass/releases/download/2.0.1/lxqt-openssh-askpass-2.0.1.tar.xz
xdg-user-dirs    https://user-dirs.freedesktop.org/releases/xdg-user-dirs-0.18.tar.gz
lxqt-session    https://github.com/lxqt/lxqt-session/releases/download/2.0.0/lxqt-session-2.0.0.tar.xz
xdg-desktop-portal-lxqt    https://github.com/lxqt/xdg-desktop-portal-lxqt/releases/download/1.0.2/xdg-desktop-portal-lxqt-1.0.2.tar.xz
fuse    https://github.com/libfuse/libfuse/releases/download/fuse-3.16.2/fuse-3.16.2.tar.gz
shared-mime-info    https://gitlab.freedesktop.org/xdg/shared-mime-info/-/archive/2.4/shared-mime-info-2.4.tar.gz
gdk-pixbuf    https://download.gnome.org/sources/gdk-pixbuf/2.42/gdk-pixbuf-2.42.12.tar.xz
librsvg    https://download.gnome.org/sources/librsvg/2.58/librsvg-2.58.3.tar.xz
bubblewrap    https://github.com/containers/bubblewrap/releases/download/v0.9.0/bubblewrap-0.9.0.tar.xz
v4l-utils    https://www.linuxtv.org/downloads/v4l-utils/v4l-utils-1.28.1.tar.xz
sbc    https://www.kernel.org/pub/linux/bluetooth/sbc-2.0.tar.xz
libical    https://github.com/libical/libical/releases/download/v3.0.18/libical-3.0.18.tar.gz
bluez    https://www.kernel.org/pub/linux/bluetooth/bluez-5.77.tar.xz
pipewire    https://gitlab.freedesktop.org/pipewire/pipewire/-/archive/1.2.3/pipewire-1.2.3.tar.bz2
xdg-desktop-portal    https://github.com/flatpak/xdg-desktop-portal/releases/download/1.18.2/xdg-desktop-portal-1.18.2.tar.xz
hicolor-icon-theme    https://icon-theme.freedesktop.org/releases/hicolor-icon-theme-0.18.tar.xz
openbox    http://openbox.org/dist/openbox/openbox-3.6.1.tar.gz
obconf-qt    https://github.com/lxqt/obconf-qt/releases/download/0.16.4/obconf-qt-0.16.4.tar.xz
breeze-icons    https://download.kde.org/stable/frameworks/6.5/breeze-icons-6.5.0.tar.xz
desktop-file-utils    https://www.freedesktop.org/software/desktop-file-utils/releases/desktop-file-utils-0.27.tar.xz
lximage-qt    https://github.com/lxqt/lximage-qt/releases/download/2.0.1/lximage-qt-2.0.1.tar.xz
lxqt-archiver    https://github.com/lxqt/lxqt-archiver/releases/download/1.0.0/lxqt-archiver-1.0.0.tar.xz
lxqt-notificationd    https://github.com/lxqt/lxqt-notificationd/releases/download/2.0.1/lxqt-notificationd-2.0.1.tar.xz
pavucontrol-qt    https://github.com/lxqt/pavucontrol-qt/releases/download/2.0.0/pavucontrol-qt-2.0.0.tar.xz
qps    https://github.com/lxqt/qps/releases/download/2.9.0/qps-2.9.0.tar.xz
qtermwidget    https://github.com/lxqt/qtermwidget/releases/download/2.0.1/qtermwidget-2.0.1.tar.xz
qterminal    https://github.com/lxqt/qterminal/releases/download/2.0.1/qterminal-2.0.1.tar.xz
screengrab    https://github.com/lxqt/screengrab/releases/download/2.8.0/screengrab-2.8.0.tar.xz
lxqt-default    https://github.com/rockytriton/lfs-aarch64/raw/refs/heads/main/bin/lxqt-default-config.txz
phonon    https://download.kde.org/stable/phonon/4.12.0/phonon-4.12.0.tar.xz
